Iter,V_set,Mu,R_path,log_Q_beta,Real_Q_beta,log_Q_yaw,Real_Q_yaw,log_R_track,Real_R_track,log_R_rate,Real_R_rate,log_W_slip,Real_W_slip,Cost,SI_max,LatErr,Energy,SpdErr,Jerk,Danger
0,30,0.4,60,3.4339,2715.8,3.8837,7650.4,3.5811,3811.3,3.3315,2145.2,1.2537,17.936,11292000,0.2479,0.0746,0.0226,0.031,0.0183,0.295
0,30,0.4,60,3.5039,3191.1,4.1512,14164,4.8829,76374,3.7647,5817.2,1.5095,32.323,11284000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.5,60,3.0985,1254.5,3.7217,5269,4.9968,99258,3.4708,2956.7,1.1602,14.463,11100000,0.1795,0.075,0.0222,0.0308,0.0187,0.236
0,30,0.5,60,4.1311,13524,4.4944,31219,2.3022,200.56,3.9189,8296.4,2.1499,141.24,30711000,0.1794,0.0748,0.0614,0.0313,0.0129,0.236
0,30,0.5,60,3.535,3427.7,2.9496,890.34,2.3162,207.11,3.8201,6608.4,3.8992,7928.3,35105000,0.1795,0.0746,0.0702,0.0298,0.0087,0.236
0,30,0.5,60,2.3314,214.51,3.6464,4430,2.2076,161.28,3.7403,5499.2,2.4309,269.74,39379000,0.1794,0.0748,0.0788,0.0313,0.0122,0.236
0,30,0.5,60,4.1636,14574,2.9236,838.7,4.9956,99003,3.8954,7858.9,4.8672,73649,27551000,0.18,0.0748,0.0551,0.022,0.0122,0.236
0,30,0.5,60,2.8323,679.75,3.6417,4382.6,4.9949,98822,3.2587,1814.3,1.9107,81.413,11101000,0.1795,0.075,0.0222,0.0308,0.0187,0.236
0,30,0.5,60,2.1767,150.21,3.4678,2936.6,4.7821,60550,3.1748,1495.7,1.0068,10.157,11101000,0.1795,0.075,0.0222,0.0308,0.0187,0.236
0,30,0.5,60,3.6243,4210.4,3.7398,5492.7,4.5234,33374,3.5261,3357.8,2.9293,849.83,11126000,0.1796,0.075,0.0223,0.0305,0.0183,0.236
0,30,0.5,60,3.0429,1103.8,3.6458,4423.6,4.7349,54318,4.1695,14775,1.0878,12.24,11100000,0.1795,0.075,0.0222,0.0308,0.0201,0.236
0,30,0.5,60,2.0063,101.45,4.2003,15860,4.5976,39595,3.2543,1796.1,1.7514,56.418,11101000,0.1795,0.075,0.0222,0.0308,0.0187,0.236
0,30,0.5,60,2.5686,370.3,4.4987,31531,4.5606,36359,3.6871,4864.9,3.4895,3086.9,11244000,0.1796,0.075,0.0225,0.0305,0.0174,0.236
0,30,0.5,60,3.562,3647.3,4.4981,31483,4.0395,10952,3.4628,2902.5,3.1653,1463.3,11857000,0.1795,0.0749,0.0237,0.0311,0.0169,0.236
0,30,0.5,60,2.876,751.7,2.0852,121.68,4.4041,25355,3.9973,9938.3,2.6312,427.78,11117000,0.1795,0.075,0.0222,0.0307,0.0198,0.236
0,30,0.5,60,4.4445,27828,4.459,28771,4.1755,14981,4.4749,29846,1.6948,49.523,11112000,0.1795,0.075,0.0222,0.031,0.0195,0.236
0,30,0.5,60,2.0534,113.09,4.4496,28157,4.7553,56926,3.7198,5245.1,2.5429,349.04,11105000,0.1795,0.075,0.0222,0.0307,0.0186,0.236
0,30,0.5,60,3.7979,6278.5,4.4261,26673,4.4664,29270,3.0171,1040.1,1.2369,17.255,11101000,0.1795,0.075,0.0222,0.0308,0.0187,0.236
0,30,0.5,60,4.4918,31032,2.0764,119.23,4.5538,35789,3.6043,4020.9,1.7027,50.434,11102000,0.1795,0.075,0.0222,0.0308,0.0186,0.236
0,30,0.5,60,2.0194,104.58,3.0508,1124.1,4.9652,92289,3.3822,2411.2,1.56,36.31,11101000,0.1795,0.075,0.0222,0.0308,0.0187,0.236
0,30,0.5,60,2.0599,114.78,4.4476,28029,4.4086,25624,3.7209,5258.9,3.1825,1522.1,11182000,0.1796,0.075,0.0224,0.0305,0.0177,0.236
0,30,0.5,60,3.23,1698.3,2.8488,705.99,4.5873,38664,3.2354,1719.6,1.8227,66.478,11102000,0.1795,0.075,0.0222,0.0308,0.0187,0.236
0,30,0.5,60,4.4971,31412,3.2609,1823.6,4.064,11587,3.3852,2427.8,1.0402,10.969,11102000,0.1795,0.075,0.0222,0.0308,0.0186,0.236
0,30,0.5,60,4.4442,27807,2.4579,287.02,4.9528,89703,4.3778,23867,1.0128,10.3,11100000,0.1795,0.075,0.0222,0.0308,0.02,0.236
0,30,0.5,60,4.4751,29861,3.2413,1743.1,4.378,23877,3.6115,4087.5,1.0106,10.247,11102000,0.1795,0.075,0.0222,0.0308,0.0186,0.236
0,30,0.5,60,2.0083,101.93,2.4689,294.39,4.7649,58195,4.3762,23778,3.1674,1470.2,11124000,0.1795,0.075,0.0222,0.0305,0.0196,0.236
0,30,0.5,60,4.4734,29743,2.6811,479.79,4.2882,19416,3.1496,1411.3,2.4536,284.16,11116000,0.1795,0.075,0.0222,0.0307,0.0184,0.236
0,30,0.5,60,2.1309,135.18,3.664,4613,4.3137,20593,3.5066,3210.6,1.0006,10.013,11102000,0.1795,0.075,0.0222,0.0308,0.0186,0.236
0,30,0.5,60,2.9424,875.87,3.6356,4321.3,2.5578,361.27,4.1789,15097,1.0006,10.015,11156000,0.1795,0.0749,0.0223,0.0313,0.0145,0.236
0,30,0.5,60,4.3245,21109,2.2716,186.9,3.0837,1212.5,3.2448,1757.2,1.0005,10.011,11116000,0.1795,0.075,0.0222,0.031,0.0184,0.236
0,30,0.5,60,4.0127,10296,3.7376,5465.1,1.0371,10.892,3.1599,1445.2,1.0005,10.011,33250000,0.1794,0.0747,0.0665,0.0313,0.0113,0.236
0,30,0.5,60,2.7914,618.53,2.743,553.29,3.1942,1563.8,3.9347,8603.5,4.9993,99845,34195000,0.1803,0.0745,0.0684,0.0165,0.0068,0.236
0,30,0.6,60,3.0985,1254.5,3.7217,5269,4.9968,99258,3.4708,2956.7,1.1602,14.463,10991000,0.1379,0.0753,0.022,0.0307,0.0189,0.1966
0,30,0.6,60,2.9593,910.47,3.4808,3025.5,4.34,21878,3.9057,8048.7,3.0546,1134.1,11063000,0.138,0.0753,0.0221,0.0304,0.018,0.1966
0,30,0.6,60,3.688,4875.3,4.4431,27741,3.9964,9917.8,3.5291,3381.2,1.9507,89.265,11002000,0.1379,0.0753,0.022,0.0307,0.0187,0.1966
0,30,0.6,60,2.8492,706.59,2.6806,479.34,2.3556,226.78,3.6931,4933,1.5472,35.252,15492000,0.1378,0.0752,0.031,0.0312,0.0157,0.1966
